Time,KillerX,KillerY,KillerZ,VictimX,VictimY,VictimZ
1451429202,1022.958068,3357.237548,128.031250,616.211730,3321.093261,128.031250
1451429202,658.425109,3204.899658,-127.968750,509.618713,3217.956542,-127.968750
1451429203,1617.599731,2646.958251,128.031250,1494.071777,2480.027587,128.031250
1451429203,69.211692,1929.151611,-127.968750,-106.253112,2148.506103,-42.883651
1451429204,1085.840576,1067.091430,64.031250,1632.626220,1138.025878,64.031250
1451429205,1775.920654,2578.593750,128.031250,1755.311035,2797.849609,128.031250
1451429206,616.194335,2903.351318,400.031250,1467.090942,1148.135009,64.031250
1451429206,930.417907,1579.247192,-135.968750,1024.718750,1767.968750,-127.968750
1451429210,-75.762916,2781.933837,-79.968750,2.808474,2694.074951,-127.968750
1451429210,905.951171,3169.171386,128.031250,904.159057,3332.761230,128.031250
1451429212,933.250732,3350.309326,128.031250,905.486206,3327.112060,128.031250
1451429215,638.315490,2872.729003,400.031250,527.752746,1653.279663,-127.968750
1451429215,1815.479736,2647.105957,128.031250,1608.092895,2285.337646,128.031250
1451429216,794.534729,3322.629150,128.031250,618.978332,3090.157958,128.031250
1451429217,38.163864,3427.164794,-127.968750,117.782760,3514.381347,-127.968750
1451429217,38.163864,3427.164794,-127.968750,38.163864,3427.164794,-127.968750
1451429219,1279.274414,2019.968750,128.031250,1219.035766,2020.224975,128.031250
1451429219,669.166931,2811.930664,400.031250,795.415710,2055.307373,-127.968750
1451429220,1841.880493,2176.152099,167.950012,1643.872802,2164.177978,128.031250
1451429223,1052.695922,3321.780273,128.031250,871.823181,3465.658447,128.031250
1451429224,1760.860595,3001.969970,128.001861,1936.468994,3174.779296,128.031250
1451429224,502.368988,2685.193115,400.031250,472.266662,2172.897949,400.031250
1451429225,1431.706298,1572.501220,-135.968750,1535.781372,2003.176757,-127.968750
1451429226,-451.740753,3252.943603,-127.968750,-392.184906,3659.962158,-127.968750
1451429227,759.393920,2429.343505,-127.968750,790.922485,2572.262451,-127.968750
1451429227,891.828613,3359.686279,128.031250,627.883361,3138.606933,128.031250
1451429229,1121.519287,3307.580810,128.031250,652.265808,3224.850585,128.031250
1451429234,1790.145629,3250.787841,128.031250,1658.036499,3384.395263,128.031250
1451429235,-295.692199,3513.732666,19.041763,154.387863,3436.456542,-127.968750
1451429235,248.678497,2847.865722,-127.968750,-71.996238,2901.215332,-89.754814
1451429235,1870.542846,2019.968750,222.447479,1871.179443,2019.968750,266.261962
1451429235,672.602783,3148.204101,128.031250,629.887268,3065.364501,128.031250
1451429235,1828.532226,3247.340332,128.031250,1938.700073,3333.710693,128.031250
1451429235,-112.766174,2280.571044,-107.581985,-347.441040,2535.968750,-68.309974
1451429236,20.232570,4218.602539,128.031250,689.806884,3938.214843,128.031250
1451429238,-335.413848,3436.718261,19.041763,-321.416442,3496.379394,19.041763
1451429238,692.994140,4180.907714,128.031250,843.385986,3788.274902,128.031250
1451429242,358.724792,2436.435546,-127.968750,286.398925,2234.418212,-127.968750
1451429244,133.655883,2703.979003,-127.968750,384.946441,2605.821044,-127.968750
1451429244,472.000213,2601.213378,400.031250,477.330230,2536.381103,400.031250
1451429245,1056.508911,2529.331787,128.031250,1180.819091,2438.448730,128.031250
1451429246,857.399353,3339.328125,181.470642,770.264709,3351.835693,128.031250
1451429246,857.399353,3339.328125,181.470642,848.656372,3179.322509,128.031250
1451429248,889.343566,3613.213134,128.031250,622.215759,3881.184570,128.031250
1451429251,1915.761840,1919.026245,128.031250,1951.968750,1304.031250,64.031250
1451429253,564.154968,627.259033,64.031250,562.625244,649.140869,64.031250
1451429256,121.254219,3604.641845,-127.968750,549.372070,3689.459960,-127.968750
1451429257,-295.911560,1383.731323,-79.968750,-60.979831,1311.753051,-127.968750
1451429257,-36.778778,2242.750244,-127.968750,-95.126441,2183.249511,-116.401847
1451429258,837.382995,3926.137939,128.031250,908.478637,3967.923583,151.165695
1451429258,623.519714,581.575500,64.031250,681.185424,416.031250,64.031250
1451429258,971.197753,1214.907348,105.699882,759.472290,1172.440673,64.031250
1451429261,89.390342,2373.053955,-127.968750,154.552902,1719.782836,-127.968750
1451429261,25.073263,3460.238281,16.341760,49.810340,3642.389404,-75.249359
1451429263,833.885009,4118.875000,128.031250,920.210205,3991.742919,132.646194
1451429263,-72.172721,2273.035400,-127.878700,91.939743,2165.582275,-127.968750
1451429265,2115.944824,863.953857,96.031250,1951.991943,841.128662,86.413475
1451429266,-402.968750,2108.821289,-79.968750,-327.990722,2543.500976,-79.968750
1451429266,873.217102,4147.727050,128.031250,681.810668,4045.384765,128.031250
1451429268,-285.221252,1608.818969,-79.968750,-136.965179,1424.868652,-95.482482
1451429268,1144.286376,3351.344238,128.031250,1144.286376,3351.344238,128.031250
1451429270,338.315887,4197.862304,128.031250,653.386535,4191.456542,128.031250
1451429270,-220.033508,1694.311767,-79.968750,-140.826522,1969.046997,-79.968750
1451429272,1233.295898,1977.413085,128.031250,1049.626342,2081.103515,128.031250
1451429272,1947.591186,1975.937622,128.031250,1953.192260,2023.968750,128.784378
1451429275,715.699584,3815.927246,128.031250,537.019897,3858.125244,131.176651
1451429278,1646.531982,3243.912353,128.031250,1646.299438,3400.714599,128.031250
1451429281,1930.951049,2509.497070,387.891571,1839.553466,2492.918701,386.349395
1451429281,-48.084709,1417.789916,-127.968750,-204.141464,1661.669799,-79.968750
1451429282,1101.019165,2162.589843,128.031250,1083.362426,2637.070312,208.191650
1451429283,1706.333374,1047.074340,64.031250,1682.080566,1198.620239,64.031250
1451429283,1399.473876,1839.852905,128.016647,1466.619873,2009.761474,169.699859
1451429287,1695.671997,2560.693603,128.031250,1695.671997,2560.693603,128.031250
1451429287,1786.172241,2070.135498,562.589843,1797.047119,1934.687988,128.031250
1451429289,-304.121246,4207.766113,128.031250,551.968750,4183.303710,154.290100
1451429290,-142.385330,2276.644287,-92.772399,-350.047180,2405.910156,-79.968750
1451429290,1945.853027,914.773925,64.031250,2003.671875,871.730590,96.031250
1451429292,-71.887344,2785.042968,-127.968750,214.564224,3201.108886,-127.968750
1451429293,1729.403198,2446.727294,157.778594,1917.832763,2163.235839,128.016647
1451429294,193.834121,2164.774902,-127.968750,23.442873,2315.047363,-102.249359
1451429294,464.847839,3319.543701,-127.968750,73.362068,3481.018310,-127.968750
1451429296,473.446136,2714.611572,400.031250,1048.000000,2672.000000,128.031250
1451429296,1735.995483,2560.984863,128.031250,1782.174438,2784.575683,128.031250
1451429297,1659.062988,2697.660888,128.031250,1717.524169,2717.347900,128.031250
1451429299,1686.069580,2332.789062,128.031250,1714.717407,2823.325927,128.031250
1451429303,-360.750518,2081.325195,-79.968750,90.882644,2060.165283,-127.968750
1451429304,1647.487792,2643.945312,128.031250,1475.785400,2185.153808,128.031250
1451429304,90.882644,2060.165283,-113.968750,-390.602050,2364.709472,-79.968750
1451429304,524.611877,431.462036,64.031250,580.612792,445.791870,64.031250
1451429305,1361.596069,2389.093994,128.031250,1583.692871,2195.285888,128.031250
1451429307,768.000000,3088.000000,128.031250,755.912292,3893.880615,151.165695
1451429309,826.636291,4156.812500,128.031250,866.924072,4202.855468,128.031250
1451429309,713.723022,4076.781494,128.031250,782.175415,4141.242187,128.031250
1451429310,65.634880,2903.141845,-127.968750,226.276092,2233.086914,-107.976776
1451429311,768.000000,3088.000000,128.031250,700.115234,3407.649169,128.031250
1451429312,1716.730102,2451.870117,128.031250,1938.722656,2538.822021,128.031250
1451429314,1762.017456,2471.798095,128.031250,1758.772705,2737.478271,128.031250
1451434164,773.351318,3077.783203,128.031250,824.517761,3117.423339,128.031250
1451434164,1490.026245,1740.673339,-127.968750,1461.365844,1429.141113,-110.230781
1451434179,1630.615600,1329.270874,-135.968750,1460.542236,1441.374877,-135.968750
1451434181,1640.669189,1455.228637,-135.968750,1896.804931,1495.098632,-135.968750
1451434186,1418.398925,1979.900878,-127.968750,1542.760742,1807.849853,-127.968750
1451434187,1418.398925,1979.900878,-127.968750,1418.398925,1979.900878,-127.968750
1451434197,1669.183715,2344.879638,128.031250,1630.416381,1998.014892,128.031250
1451434200,694.344299,1053.944213,64.031250,543.558349,898.193298,64.031250
